id,timestamp,hostname,interface,description,bandwidth,mtu,input_policy,output_policy,vrf,primary_ipv4_address,primary_ipv4_mask,secondary_ipv4_address,ipv6_address,encapsulation,vlan,modified_by_id
59249,2021-05-19 07:07:54.687740,CABN5695CICU001,Bundle-Ether10002.1114,CHINA BANKING CORPORATION_PID1-180A3KE_BRAINS IPVPN-LL_4M,,,PLDT-ENT-4800K-AF3-UNI-IN,PLDT-ENT-4800K-AF3-UNI-OUT,IPR3094_CHINA,10.229.123.69,255.255.255.252,,,dot1q,1114,1
59250,2021-05-19 07:07:54.687801,CABN5695CICU001,Bundle-Ether10002.1117,BANK OF THE PHILIPPINE ISLANDS_PID1-19FOGU7_BRAINS IPVPN-LL_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3926_BPI03,10.227.113.145,255.255.255.248,,,dot1q,1117,1
59251,2021-05-19 07:07:54.687863,CABN5695CICU001,Bundle-Ether10002.1118,SM INVESTMENTS CORPORATION_PID1-18VSLHV_BRAINS IPVPN-LL_256K,,,PLDT-ENT-308K-AF3-UNI-IN,PLDT-ENT-308K-AF3-UNI-OUT,IPR3223_SM-SVI,10.229.136.245,255.255.255.252,,,dot1q,1118,1
59252,2021-05-19 07:07:54.687925,CABN5695CICU001,Bundle-Ether10002.1119,"MAYBANK PHILIPPINES, INCORPORATED_PID1-194FLDX_BRAINS IPVPN-LL_6M",,,PLDT-ENT-7200K-AF3-UNI-IN,PLDT-ENT-7200K-AF3-UNI-OUT,IPR3604_MAYBANK,10.229.149.61,255.255.255.252,,,dot1q,1119,1
59253,2021-05-19 07:07:54.687986,CABN5695CICU001,Bundle-Ether10002.1121,UNION BANK OF THE PHILS._PID1-19ARNXA_BRAINS IPVPN-LL_6M,,,PLDT-ENT-7200K-AF3-UNI-IN,PLDT-ENT-7200K-AF3-UNI-OUT,IPR3434_UNION,10.8.1.157,255.255.255.252,,,dot1q,1121,1
59254,2021-05-19 07:07:54.688047,CABN5695CICU001,Bundle-Ether10002.1122,PRU LIFE INSURANCE CORPORATION OF U.K_PID1-1973T39_BRAINS IPVPN-LL_8M,,,PLDT-ENT-9600K-AF3-UNI-IN,PLDT-ENT-9600K-AF3-UNI-OUT,IPR3059_PRULIFE,10.212.122.65,255.255.255.248,,,dot1q,1122,1
59255,2021-05-19 07:07:54.688108,CABN5695CICU001,Bundle-Ether10002.1123,LARES INCORPORATED_PID103874890_IPVPN_1M,,,PLDT-ENT-1200K-AF3-UNI-IN,PLDT-ENT-1200K-AF3-UNI-OUT,IPR3381_LARES,172.21.66.1,255.255.255.252,,,dot1q,1123,1
59256,2021-05-19 07:07:54.688170,CABN5695CICU001,Bundle-Ether10002.1125,BUREAU OF THE TREASURY_PID1-19NZY6P_IPVPN_6M,,,PLDT-ENT-7200K-AF3-UNI-IN,PLDT-ENT-7200K-AF3-UNI-OUT,IPR7481_BUOFTT,10.229.170.157,255.255.255.252,,,dot1q,1125,1
59257,2021-05-19 07:07:54.688231,CABN5695CICU001,Bundle-Ether10002.1126,LBC EXPRESS INC._PID1-1ABCYNK_IPVPN_1M,,,PLDT-ENT-1200K-AF3-UNI-IN,PLDT-ENT-1200K-AF3-UNI-OUT,IPR3374_LBCXPRS,10.229.173.53,255.255.255.252,,,dot1q,1126,1
59258,2021-05-19 07:07:54.688292,CABN5695CICU001,Bundle-Ether10002.1128,LBC EXPRESS INC._PID1-1ABVGTD_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3374_LBCXPRS,10.229.173.181,255.255.255.252,,,dot1q,1128,1
59259,2021-05-19 07:07:54.688353,CABN5695CICU001,Bundle-Ether10002.1129,SECURITY BANK CORPORATION_PID1-1A1HYB6_IPVPN_10M,,,PLDT-ENT-12M-AF3-UNI-IN,PLDT-ENT-12M-AF3-UNI-OUT,IPR3135_SECBANK,172.17.14.118,255.255.255.252,,,dot1q,1129,1
59260,2021-05-19 07:07:54.688415,CABN5695CICU001,Bundle-Ether10002.2001,CABHUOL001_FTTH_NMS,,,PLDT-FIXED-CB-OM-IN,,IPR30044_HUANMS,10.226.50.193,255.255.255.192,,,dot1q,2001,1
59261,2021-05-19 07:07:54.688476,CABN5695CICU001,Bundle-Ether10002.2101,BANK OF THE PHILIPPINE ISLANDS_PID1-1ADQF6O_IPVPN_6M,,,PLDT-ENT-7200K-AF3-UNI-IN,PLDT-ENT-7200K-AF3-UNI-OUT,IPR3926_BPI03,10.0.76.241,255.255.255.252,,,dot1q,2101,1
59262,2021-05-19 07:07:54.688537,CABN5695CICU001,Bundle-Ether10002.2103,PHILIPPINE NATIONAL BANK_PID1-1AHLBPY/PNB01-012021-74649_IPVPN_4M,,,PLDT-ENT-4800K-AF3-UNI-IN,PLDT-ENT-4800K-AF3-UNI-OUT,IPR3115_PNB,10.229.191.125,255.255.255.252,,,dot1q,2103,1
59263,2021-05-19 07:07:54.688598,CABN5695CICU001,Bundle-Ether10002.2104,PAWNSAFE SERVICES CORPORATION_PID104584004_SID PSC16-032021-37201_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3068_PJLHUIL,10.212.130.1,255.255.255.248,,,dot1q,2104,1
59264,2021-05-19 07:07:54.688660,CABN5695CICU001,Bundle-Ether10002.2105,P.J. LHUILLIER INC._PID104593097/PLI02-032021-48927_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3068_PJLHUIL,10.229.200.113,255.255.255.252,,,dot1q,2105,1
59265,2021-05-19 07:07:54.688722,CABN5695CICU001,Bundle-Ether10002.2106,P.J. LHUILLIER INC._PID104596592/PLI02-032021-91678_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3068_PJLHUIL,10.229.200.181,255.255.255.252,,,dot1q,2106,1
59266,2021-05-19 07:07:54.688783,CABN5695CICU001,Bundle-Ether10002.2107,P.J. LHUILLIER INC._PID104596282/PLI02-032021-90778_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3068_PJLHUIL,10.227.241.113,255.255.255.248,,,dot1q,2107,1
59267,2021-05-19 07:07:54.688845,CABN5695CICU001,Bundle-Ether10002.2108,P.J. LHUILLIER INC._PID104596436/SID PLI02-032021-91262_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3068_PJLHUIL,10.229.200.233,255.255.255.252,,,dot1q,2108,1
59268,2021-05-19 07:07:54.688907,CABN5695CICU001,Bundle-Ether10002.2110,P.J. LHUILLIER INC._PID104596525_SIDPLI02-032021-91444_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3068_PJLHUIL,10.212.122.170,255.255.255.248,,,dot1q,2110,1
59269,2021-05-19 07:07:54.688968,CABN5695CICU001,Bundle-Ether10002.2112,BROADVUE TRADERS CORPORATION_PID104644961/BTC08-032021-54557_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3075_MTTRADE,10.212.125.137,255.255.255.248,,,dot1q,2112,1
59270,2021-05-19 07:07:54.689030,CABN5695CICU001,Bundle-Ether10002.2113,ASIA UNITED BANK CORP_PID104561268_IPVPN_512K,,9218,PLDT-ENT-615K-AF3-UNI-IN,PLDT-ENT-615K-AF3-UNI-OUT,IPR5641_AUBC,10.228.177.241,255.255.255.252,,,dot1q,2113,1
59271,2021-05-19 07:07:54.689091,CABN5695CICU001,Bundle-Ether10002.2114,LAND BANK OF THE PHILIPPINES_IPVPN_2M,,9218,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3615_LNDBANK,10.100.1.54,255.255.255.252,,,dot1q,2114,1
59272,2021-05-19 07:07:54.689169,CABN5695CICU001,Bundle-Ether10002.2115,EAST WEST BANK_PID1-1CWJUZS_IPVPN_10M,,9218,PLDT-ENT-12000K-AF3-UNI_IN,PLDT-ENT-12000K-AF3-UNI_OUT,IPR3232_EWBANK,10.227.139.193,255.255.255.252,,,dot1q,2115,1
59273,2021-05-19 07:07:54.689218,CABN5695CICU001,Bundle-Ether10002.2116,PHILIPPINE VETERANS BANK_PID1-1CXCLIC_IPVPN_6M,,9218,PLDT-ENT-7200K-AF3-UNI-IN,PLDT-ENT-7200K-AF3-UNI-OUT,IPR3220_VETERAN,10.228.174.217,255.255.255.252,,,dot1q,2116,1
59274,2021-05-19 07:07:54.689266,CABN5695CICU001,Bundle-Ether10002.2117,"BDO UNIBANK, INC._PID104697410_IPVPN_2M",,9218,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3172_BDO_NET,172.25.52.138,255.255.255.248,,,dot1q,2117,1
59275,2021-05-19 07:07:54.689314,CABN5695CICU001,Bundle-Ether10002.2118,VERITE PAWN CORPORATION_PID104596576_IPVPN_2M,,9218,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3068_PJLHUIL,10.228.101.105,255.255.255.252,,,dot1q,2118,1
59276,2021-05-19 07:07:54.689362,CABN5695CICU001,Bundle-Ether10002.2119,MANUFACTURERS LIFE INSURANCE CO._PID104665853_IPVPN_4M_TESTWAN,,9218,PLDT-ENT-4800K-AF3-UNI-IN,PLDT-ENT-4800K-AF3-UNI-OUT,IPR3526_MANULFE,10.229.111.153,255.255.255.252,,,dot1q,2119,1
59277,2021-05-19 07:07:54.689410,CABN5695CICU001,Bundle-Ether10003.1026,IPR30076_IPTV_ALGHUOL001_IPTV_Multicast,,,PLDT-FIXED-CB-IPTV-IN,,IPR30076_IPTV,172.16.102.29,255.255.255.252,,,dot1q,1026,1
59278,2021-05-19 07:07:54.689458,CABN5695CICU001,Bundle-Ether10003.2001,IPR30044_HUANMS_ALGHUOL001_FTTH_NMS,,,PLDT-FIXED-CB-OM-IN,,IPR30044_HUANMS,10.226.29.129,255.255.255.192,,,dot1q,2001,1
59279,2021-05-19 07:07:54.689539,CABN5695CICU001,Bundle-Ether10006.1001,MNXFEOL001_FTTH_NMS,,,PLDT-FIXED-CB-OM-IN,,IPR30800_FTTH_NMS,10.226.117.129,255.255.255.192,,,dot1q,1001,1
59280,2021-05-19 07:07:54.689660,CABN5695CICU001,Bundle-Ether10006.1026,IPR30076_IPTV_CABN5695CICU001_MNXFEOL001_IPTV_Multicast_RID171125,,,PLDT-FIXED-CB-IPTV-IN,,IPR30076_IPTV,172.16.102.5,255.255.255.252,,,dot1q,1026,1
59281,2021-05-19 07:07:54.689716,CABN5695CICU001,Bundle-Ether10006.1103,AND BANK OF THE PHILIPPINES_PID1-1A4C10Z_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3615_LNDBANK,10.202.4.182,255.255.255.252,,,dot1q,1103,1
59282,2021-05-19 07:07:54.689769,CABN5695CICU001,Bundle-Ether10008.1026,SRNHUOL001 IPTV Multicast,,,PLDT-FIXED-CB-IPTV-IN,,IPR30076_IPTV,172.16.102.41,255.255.255.252,,,dot1q,1026,1
59283,2021-05-19 07:07:54.689820,CABN5695CICU001,Bundle-Ether10008.2001,IPR30044_HUANMS_SRNHUOL001 FTTH NMS,,,PLDT-FIXED-CB-OM-IN,,IPR30044_HUANMS,10.226.41.129,255.255.255.192,,,dot1q,2001,1
59284,2021-05-19 07:07:54.689870,CABN5695CICU001,Bundle-Ether10011.1026,TVRHUOL001 IPTV Multicast,,,PLDT-FIXED-CB-IPTV-IN,,IPR30076_IPTV,172.16.102.25,255.255.255.252,,,dot1q,1026,1
59285,2021-05-19 07:07:54.689920,CABN5695CICU001,Bundle-Ether10011.1102,"PID103799996_BDO UNIBANK, INC._BRAINS IPVPN-LL_2M",,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3172_BDO_NET,172.20.209.130,255.255.255.248,,,dot1q,1102,1
59286,2021-05-19 07:07:54.689969,CABN5695CICU001,Bundle-Ether10011.1103,PID1-T6DNQQ_Bureau of Internal Revenue - Main Office_BRAINS IPVPN-LL_2M,,,PLDT-ENT-2200K-AF3-UNI-IN,PLDT-ENT-2200K-AF3-UNI-OUT,IPR6111_BIRMO,10.228.217.161,255.255.255.252,,,dot1q,1103,1
59287,2021-05-19 07:07:54.690018,CABN5695CICU001,Bundle-Ether10011.1104,"PUREGOLD PRICE CLUB, INCORPORATED_PID1-17JWDVX_IPVPN FTTH_2M",,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3200_PURGOLD,10.229.105.149,255.255.255.252,,,dot1q,1104,1
59288,2021-05-19 07:07:54.690067,CABN5695CICU001,Bundle-Ether10011.1106,EAST WEST BANKING CORPORATION_PID1-16AGIIT_BRAINS IPVPN-LL_10M,,,PLDT-ENT-DEFAULT-AF3-IN,,IPR3232_EWBANK,10.100.159.5,255.255.255.252,,,dot1q,1106,1
59289,2021-05-19 07:07:54.690115,CABN5695CICU001,Bundle-Ether10011.1107,BANK OF THE PHILIPPINE ISLANDS_PID1-18OGRZR_BRAINS IPVPN-LL_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3926_BPI03,10.229.141.1,255.255.255.252,,,dot1q,1107,1
59290,2021-05-19 07:07:54.690164,CABN5695CICU001,Bundle-Ether10011.1108,ROBINSONS SUPERMARKET - TALAVERA_PID103647835_SHOPS.WORK_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3219_ROBNSON,10.228.171.177,255.255.255.252,,,dot1q,1108,1
59291,2021-05-19 07:07:54.690212,CABN5695CICU001,Bundle-Ether10011.2001,IPR30044_HUANMS_TVRHUOL001 FTTH NMS,,,PLDT-FIXED-CB-OM-IN,,IPR30044_HUANMS,10.226.28.1,255.255.255.192,,,dot1q,2001,1
59292,2021-05-19 07:07:54.690260,CABN5695CICU001,Bundle-Ether10011.2101,PRODUCERS SAVINGS BANK CORPORATION_PID104635466_IPVPN_2M,,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3533_PRODBNK,10.213.210.89,255.255.255.248,,,dot1q,2101,1
59293,2021-05-19 07:07:54.690308,CABN5695CICU001,Loopback1,network management loopback,,,,,CIPR20000_TNTMGMT_H00,10.205.142.35,255.255.255.255,,2405:b800::b023/128,,,1
59294,2021-05-19 07:07:54.690356,CABN5695CICU001,TenGigE0/0/1/8.4081,PID1-1A669KX_CITI CABLEWORLD INC._CABHUDE020,,,PLDT-FIXED-CB-OM-IN,,CIPR20000_TNTMGMT_H00,10.223.184.77,255.255.255.252,,,dot1q,4081,1
59295,2021-05-19 07:07:54.690404,CABN5695CICU001,BVI100021025,CABHUOL001 IPTV DHCP,,,,,IPR30076_IPTV,100.27.64.1,255.255.192.0,,,,,1
59296,2021-05-19 07:07:54.690452,CABN5695CICU001,BVI100022024,CABHUOL001 FTTH RTP,,,,,IPR30903_FTTH_VoIP_Prod,101.27.64.1,255.255.192.0,,,,,1
59297,2021-05-19 07:07:54.690499,CABN5695CICU001,BVI100031025,ALGHUOL001 IPTV DHCP,,,,,IPR30076_IPTV,100.27.0.1,255.255.192.0,,,,,1
59298,2021-05-19 07:07:54.690548,CABN5695CICU001,BVI100032024,ALGHUOL001 FTTH RTP,,,,,IPR30903_FTTH_VoIP_Prod,101.27.0.1,255.255.192.0,,,,,1
59299,2021-05-19 07:07:54.690597,CABN5695CICU001,BVI100061024,MNXFEOL001 FTTH RTP,,,,,IPR30903_FTTH_VoIP_Prod,101.28.0.1,255.255.192.0,,,,,1
59300,2021-05-19 07:07:54.690646,CABN5695CICU001,BVI100061025,MNXFEOL001 IPTV DHCP,,,,,IPR30076_IPTV,100.28.0.1,255.255.192.0,,,,,1
59301,2021-05-19 07:07:54.690693,CABN5695CICU001,BVI100081025,SRNHUOL001 IPTV DHCP,,,,,IPR30076_IPTV,100.27.128.1,255.255.192.0,,,,,1
59302,2021-05-19 07:07:54.690741,CABN5695CICU001,BVI100082024,SRNHUOL001 FTTH RTP,,,,,IPR30903_FTTH_VoIP_Prod,101.27.128.1,255.255.192.0,,,,,1
59303,2021-05-19 07:07:54.690788,CABN5695CICU001,BVI100111025,TVRHUOL001 IPTV DHCP,,,,,IPR30076_IPTV,100.27.192.1,255.255.192.0,,,,,1
59304,2021-05-19 07:07:54.690840,CABN5695CICU001,BVI100112024,TVRHUOL001 FTTH RTP,,,,,IPR30903_FTTH_VoIP_Prod,101.27.192.1,255.255.192.0,,,,,1
62820,2021-05-20 03:42:19.918640,BATS0002CICU001,Bundle-Ether1001.101,PID1-12DBGR2_SM INVESTMENTS CORPORATION_BRAINS IPVPN-LL_4M,,,PLDT-ENT-4800K-AF3-UNI-IN,PLDT-ENT-4800K-AF3-UNI-OUT,IPR3223_SM-SVI,192.168.63.154,255.255.255.252,,,dot1q,101,1
62821,2021-05-20 03:42:19.918709,BATS0002CICU001,Bundle-Ether1001.102,"PID1-192FDB5_BDO UNIBANK, INC._IPVPN DEMARC_2M",,,PLDT-ENT-2400K-AF3-UNI-IN,PLDT-ENT-2400K-AF3-UNI-OUT,IPR3172_BDO_NET,172.20.143.130,255.255.255.248,,,dot1q,102,1
62822,2021-05-20 03:42:19.918754,BATS0002CICU001,Bundle-Ether1001.104,"PID1-18B4VCF_ONE FOOD GROUP MANAGEMENT SERVICES, INC._BRAINS IPVPN-LL_2M",,,PLDT-ENT-2200K-AF3-UNI-IN,PLDT-ENT-2200K-AF3-UNI-OUT,IPR7695_ONEFOOD,10.229.135.29,255.255.255.252,,,dot1q,104,1
62823,2021-05-20 03:42:19.918795,BATS0002CICU001,Bundle-Ether1001.3200,S6416_3G_OAM_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40003_OAM,14.78.35.161,255.255.255.252,,,dot1q,3200,1
62824,2021-05-20 03:42:19.918835,BATS0002CICU001,Bundle-Ether1001.3220,S6416_3G_IUB_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40001_IUB,14.62.35.161,255.255.255.252,,,dot1q,3220,1
62825,2021-05-20 03:42:19.918875,BATS0002CICU001,Bundle-Ether1001.3280,S6416_3G_IPR40002_SYNC_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-PTP-CE,,IPR40002_SYNC,14.110.35.161,255.255.255.252,,,dot1q,3280,1
62826,2021-05-20 03:42:19.918914,BATS0002CICU001,Bundle-Ether1001.3400,S6416_FD_OAM_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40003_OAM,14.86.35.161,255.255.255.252,,,dot1q,3400,1
62827,2021-05-20 03:42:19.918954,BATS0002CICU001,Bundle-Ether1001.3420,S6416_FD_S1_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40004_S1,14.22.35.161,255.255.255.252,,,dot1q,3420,1
62828,2021-05-20 03:42:19.918993,BATS0002CICU001,Bundle-Ether1001.3480,S6416_FD_SYNC_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-PTP-CE,,IPR40002_SYNC,14.118.35.161,255.255.255.252,,,dot1q,3480,1
62829,2021-05-20 03:42:19.919032,BATS0002CICU001,Bundle-Ether1001.4081,SM CITY LEMERY_BATHUDE010,,,PLDT-FIXED-CB-OM-IN,,CIPR20000_TNTMGMT_H00,10.223.172.37,255.255.255.252,,,dot1q,4081,1
62830,2021-05-20 03:42:19.919071,BATS0002CICU001,Bundle-Ether1002.3000,S3571_2G_OAM_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40003_OAM,14.70.34.61,255.255.255.252,,,dot1q,3000,1
62831,2021-05-20 03:42:19.919109,BATS0002CICU001,Bundle-Ether1002.3020,S3571_2G_ABIS_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40000_ABIS,14.54.34.61,255.255.255.252,,,dot1q,3020,1
62832,2021-05-20 03:42:19.919147,BATS0002CICU001,Bundle-Ether1002.3080,S3571_2G_SYNC_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-PTP-CE,,IPR40002_SYNC,14.102.34.61,255.255.255.252,,,dot1q,3080,1
62833,2021-05-20 03:42:19.919186,BATS0002CICU001,Bundle-Ether1002.3200,S3571_3G_OAM_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40003_OAM,14.78.34.61,255.255.255.252,,,dot1q,3200,1
62834,2021-05-20 03:42:19.919224,BATS0002CICU001,Bundle-Ether1002.3220,S3571_3G_IUB_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40001_IUB,14.62.34.61,255.255.255.252,,,dot1q,3220,1
62835,2021-05-20 03:42:19.919262,BATS0002CICU001,Bundle-Ether1002.3400,S3571_FD_OAM_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40003_OAM,14.86.34.61,255.255.255.252,,,dot1q,3400,1
62836,2021-05-20 03:42:19.919300,BATS0002CICU001,Bundle-Ether1002.3420,S3571_FD_S1_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-CE,,IPR40004_S1,14.22.34.61,255.255.255.252,,,dot1q,3420,1
62837,2021-05-20 03:42:19.919339,BATS0002CICU001,Bundle-Ether1002.3480,S3571_FD_SYNC_1_CR-20210301-00552,,,PLDT-TNT-CEN-Ingress-PTP-CE,,IPR40002_SYNC,14.118.34.61,255.255.255.252,,,dot1q,3480,1
62838,2021-05-20 03:42:19.919378,BATS0002CICU001,Bundle-Ether1002.4081,PID75352_XENTRO MALL BATANGAS_BATHUDE026,,,PLDT-FIXED-CB-OM-IN,,CIPR20000_TNTMGMT_H00,10.223.172.129,255.255.255.252,,,dot1q,4081,1
62839,2021-05-20 03:42:19.919417,BATS0002CICU001,Bundle-Ether1003.4081,PID1-12NBUE4_ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE_BATHUDE015,,,PLDT-FIXED-CB-OM-IN,,CIPR20000_TNTMGMT_H00,10.223.172.57,255.255.255.252,,,dot1q,4081,1
