hostname,interface,description,vlan
BATS0002CICU001,Bundle-Ether1001.101,PID1-12DBGR2_SM INVESTMENTS CORPORATION_BRAINS IPVPN-LL_4M,101
BATS0002CICU001,Bundle-Ether1001.102,"PID1-192FDB5_BDO UNIBANK, INC._IPVPN DEMARC_2M",102
BATS0002CICU001,Bundle-Ether1001.104,"PID1-18B4VCF_ONE FOOD GROUP MANAGEMENT SERVICES, INC._BRAINS IPVPN-LL_2M",104
BATS0002CICU001,Bundle-Ether1001.3200,S6416_3G_OAM_1_CR-20210301-00552,3200
BATS0002CICU001,Bundle-Ether1001.3220,S6416_3G_IUB_1_CR-20210301-00552,3220
BATS0002CICU001,Bundle-Ether1001.3280,S6416_3G_IPR40002_SYNC_1_CR-20210301-00552,3280
BATS0002CICU001,Bundle-Ether1001.3400,S6416_FD_OAM_1_CR-20210301-00552,3400
BATS0002CICU001,Bundle-Ether1001.3420,S6416_FD_S1_1_CR-20210301-00552,3420
BATS0002CICU001,Bundle-Ether1001.3480,S6416_FD_SYNC_1_CR-20210301-00552,3480
BATS0002CICU001,Bundle-Ether1001.4081,SM CITY LEMERY_BATHUDE010,4081
BATS0002CICU001,Bundle-Ether1002.3000,S3571_2G_OAM_1_CR-20210301-00552,3000
BATS0002CICU001,Bundle-Ether1002.3020,S3571_2G_ABIS_1_CR-20210301-00552,3020
BATS0002CICU001,Bundle-Ether1002.3080,S3571_2G_SYNC_1_CR-20210301-00552,3080
BATS0002CICU001,Bundle-Ether1002.3200,S3571_3G_OAM_1_CR-20210301-00552,3200
BATS0002CICU001,Bundle-Ether1002.3220,S3571_3G_IUB_1_CR-20210301-00552,3220
BATS0002CICU001,Bundle-Ether1002.3400,S3571_FD_OAM_1_CR-20210301-00552,3400
BATS0002CICU001,Bundle-Ether1002.3420,S3571_FD_S1_1_CR-20210301-00552,3420
BATS0002CICU001,Bundle-Ether1002.3480,S3571_FD_SYNC_1_CR-20210301-00552,3480
BATS0002CICU001,Bundle-Ether1002.4081,PID75352_XENTRO MALL BATANGAS_BATHUDE026,4081
BATS0002CICU001,Bundle-Ether1003.4081,PID1-12NBUE4_ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE_BATHUDE015,4081
BATS0002CICU001,Bundle-Ether5001.501,BATFEAG022 NMS,501
BATS0002CICU001,Bundle-Ether5001.510,BATFEAG022 Signaling,510
BATS0002CICU001,Bundle-Ether5001.515,BATFEAG022 RTP,515
BATS0002CICU001,Bundle-Ether5001.1026,BATFEAG022 VDSL IPTV Multicast,1026
BATS0002CICU001,Bundle-Ether5002.501,BATFEAG023 NMS,501
BATS0002CICU001,Bundle-Ether5002.510,BATFEAG023 Signaling,510
BATS0002CICU001,Bundle-Ether5002.515,BATFEAG023 RTP,515
BATS0002CICU001,Bundle-Ether5002.1026,BATFEAG023 VDSL IPTV Multicast,1026
BATS0002CICU001,Bundle-Ether5003.501,BATFEAG011 NMS,501
BATS0002CICU001,Bundle-Ether5003.510,BATFEAG011 SIGNALING,510
BATS0002CICU001,Bundle-Ether5003.515,BATFEAG011 RTP,515
BATS0002CICU001,Bundle-Ether5003.1026,BATFEAG011_VDSL_IPTV_MULTICAST,1026
BATS0002CICU001,Bundle-Ether10002.1001,BATFEOL002_FTTH_NMS,1001
BATS0002CICU001,Bundle-Ether10002.1026,BATFEOL002_IPTV_Multicast,1026
BATS0002CICU001,Bundle-Ether10002.1104,POLYLITE INDUSTRIAL CORPORATION_PID1-18BXD6I_BRAINS IPVPN-LL_2M,1104
BATS0002CICU001,Bundle-Ether10002.1105,"PLANBANK (RURAL BANK OF CANLUBANG PLANTERS, INC)_PID1-15J2UKS_BRAINS IPVPN-LL_1M",1105
BATS0002CICU001,Bundle-Ether10002.1110,P.J. LHUILLIER INC._PID1-19AE0YV_BRAINS IPVPN-LL_1M,1110
BATS0002CICU001,Bundle-Ether10002.1111,DAVAO CITIHARDWARE INC._PID1-19YIIK5_BRAINS IPVPN-LL_4M,1111
BATS0002CICU001,Bundle-Ether10002.1113,LBC EXPRESS INC._PID1-1A3JIT0_IPVPN FTTH_1M,1113
BATS0002CICU001,Bundle-Ether10002.1114,"BDO UNIBANK, INC._PID1-183UTF0_IPVPN_4M",1114
BATS0002CICU001,Bundle-Ether10002.1116,GOVERNMENT SERVICE INSURANCE SYSTEM_PID104111122_IPVPN_2M,1116
BATS0002CICU001,Bundle-Ether10002.1117,EAST WEST BANKING CORPORATION_PID1-178L6CT_IPVPN_10M,1117
BATS0002CICU001,Bundle-Ether10002.1120,CHINA BANKING CORPORATION_PID1-1AFUI8N_IPVPN_4M,1120
BATS0002CICU001,Bundle-Ether10002.1121,"BDO UNIBANK, INC._PID1-183UTF0_IPVPN_4M",1121
BATS0002CICU001,Bundle-Ether10002.1126,CHINA BANKING CORPORATION_PID103603137_IPVPN_4M,1126
BATS0002CICU001,Bundle-Ether10002.1127,LAND BANK OF THE PHILIPPINES_PID1-18NNDKH_IPVPN_2M,1127
BATS0002CICU001,Bundle-Ether10002.1129,"BDO UNIBANK, INC._PID1-1AH196I_IPVPN_64K",1129
BATS0002CICU001,Bundle-Ether10002.1130,CITY SAVINGS BANK INC._PID1-1ADTJIF_IPVPN_2M,1130
BATS0002CICU001,Bundle-Ether10002.1131,PHILIPPINE VETERANS BANK_PID1-1B0FIAJ_IPVPN_10M,1131
BATS0002CICU001,Bundle-Ether10002.1132,"BDO UNIBANK, INC._PID1-1AON78Q_IPVPN_8M",1132
BATS0002CICU001,Bundle-Ether10002.1133,LAND BANK OF THE PHILIPPINES_PID100727749_IPVPN_1M,1133
BATS0002CICU001,Bundle-Ether10002.1134,LAND BANK OF THE PHILIPPINES_PID1-1BLVB7G_IPVPN_2M,1134
BATS0002CICU001,Bundle-Ether10002.1135,CHINA BANKING CORPORATION_PID104376290_SIDCBC01-102020-71765_IPVPN_4M,1135
BATS0002CICU001,Bundle-Ether10002.1136,VERITE PAWN CORPORATION_PID104398049/SID VPC01-112020-96174_IPVPN_2M,1136
BATS0002CICU001,Bundle-Ether10002.1137,LARES INCORPORATED_PID100473593/LI04-012013-65086_IPVPN_512K,1137
BATS0002CICU001,Bundle-Ether10002.1138,ASIAN VISION CABLE HOLDINGS_PID1-1BQZSDF/SID AVCH01-112020-21225_IPVPN_2M,1138
BATS0002CICU001,Bundle-Ether10002.1141,MERCURY DRUG CORP._PID1-1C97Q0I_IPVPN_2M,1141
BATS0002CICU001,Bundle-Ether10002.1142,SM INVESTMENTS CORPORATION_PID104657389_IPVPN_1M,1142
BATS0002CICU001,Bundle-Ether10002.1161,INSULAR_PID_1-16UPDZK,1161
BATS0002CICU001,Bundle-Ether10002.1162,HDMF-CORPORATE HEADQUARTERS_PID1-1ACJHFV_IPVPN_2M,1162
BATS0002CICU001,Bundle-Ether10003.1001,BATFEOL003 FTTH NMS,1001
BATS0002CICU001,Bundle-Ether10003.1026,BATFEOL003 IPTV Multicast,1026
BATS0002CICU001,Bundle-Ether10004.1001,BATFEOL004 FTTH NMS,1001
BATS0002CICU001,Bundle-Ether10004.1026,BATFEOL004 IPTV Multicast,1026
BATS0002CICU001,Bundle-Ether10004.1103,Bureau of Immigration and Deportation_PID1-18OAR0Q_IPVPN_6M,1103
BATS0002CICU001,TenGigE0/0/1/2.4081,"PID1-18BKHCO_KABAYAN CABLE TV SYSTEMS, INC._SJEHUDE002",4081
BATS0002CICU001,TenGigE0/1/1/3.3201,S3904_3G_IPR40003_OAM_1_CR-20210405-00532,3201
BATS0002CICU001,TenGigE0/1/1/3.3221,S3904_3G_IPR40001_IUB_1_CR-20210405-00532,3221
BATS0002CICU001,TenGigE0/1/1/3.3280,S3904_3G_IPR40002_SYNC_1_CR-20210405-00532,3280
BATS0002CICU001,TenGigE0/1/1/3.3401,S3904_FD_IPR40003_OAM_1_CR-20210405-00532,3401
BATS0002CICU001,TenGigE0/1/1/3.3421,S3904_FD_IPR40004_S1_1_CR-20210405-00532,3421
BATS0002CICU001,TenGigE0/1/1/3.3481,S3904_FD_IPR40002_SYNC_1_CR-20210405-00532,3481
BATS0002CICU001,TenGigE0/1/1/3.4081,RID136881_S3904 BATANGAS OFFICE - WINNABLE OFFICE_BATHUDE078,4081
BATS0002CICU001,TenGigE0/2/1/3.4081,PID1-18CQUZD_PHILIPPINE GLOBAL COMMUNICATIONS INC._BATHUDE059,4081
VGN00C15CIBE001,Bundle-Ether60002.4071,eNodeB<>EnodeB (X2)_S1_CR-20210405-00202,4071
VGN00C15CIBE001,Bundle-Ether60002.4073,BTS<>BSC (Southbound)_ABIS_CR-20210405-00202,4073
VGN00C15CIBE001,Bundle-Ether60002.4074,NodeB<>RNC (Southbound)_IUB_CR-20210405-00202,4074
VGN00C15CIBE001,Bundle-Ether60002.4075,eNodeB<>SSU (Clocking)_SYNC_CR-20210405-00202,4075
PRQG0049CIBE001,Bundle-Ether37.888,NPQHUBS002 IPR30001_BNG_DRA,888
PRQG0049CIBE001,TenGigE0/1/0/47.4010,DHCP server for IPTV,4010
PRQG0049CIBE001,TenGigE0/1/0/47.4011,DHCP server for VOIP,4011
PRQG0049CIBE001,TenGigE0/1/0/47.4012,DHCP server for IPTV,4012
PRQG0049CIBE001,TenGigE0/1/0/47.4013,DHCP server for VOIP,4013
PRQG0049CIBE001,TenGigE0/6/0/47.4010,DHCP server for IPTV,4010
PRQG0049CIBE001,TenGigE0/6/0/47.4011,DHCP server for VOIP,4011
PRQG0049CIBE001,TenGigE0/6/0/47.4012,DHCP server for IPTV,4012
PRQG0049CIBE001,TenGigE0/6/0/47.4013,DHCP server for VOIP,4013
PRQG0049CIBE001,GigabitEthernet0/0/0/0.3496,***test pilot ent***,3496
PRQPXPRQCIBE001,Bundle-Ether65534.3000,SID_PATHYB_HUB_080321_PID_PATHYB_HUB_080321,3000
PRQPXPRQCIBE001,Bundle-Ether65534.3010,SID_PATHYB_POI_0803_PID_PATHYB_POI_0803,3010
CKLN8004CIBE001,Bundle-Ether20000.20,Connected to ANG03922RT01NE40E01_SMART_PIVOT_SIGTRAN_Signaling (RAN_Backend_Core)_RID143808,20
CKLN8004CIBE001,Bundle-Ether20000.40,Connected to ANG03922RT01NE40E01_SMART_PIVOT_SERVICE_Core<>Core_RID143808,40
CKLN8004CIBE001,Bundle-Ether20000.50,Connected to ANG03922RT01NE40E01_SMART_PIVOT_S1 (SMART_S1)_WO-20201106-01235,50
CKLN8004CIBE001,Bundle-Ether20000.60,Connected to ANG03922RT01NE40E01_SMART_PIVOT_MBB_BSC_RNC<>Packet Core _RID143808,60
CKLN8004CIBE001,Bundle-Ether20000.70,Connected to ANG03922RT01NE40E01_SMART_PIVOT_MBB_BSC_RNC<>Packet Core _RID143808,70
CKLN8004CIBE001,Bundle-Ether20000.80,Connected to ANG03922RT01NE40E01_SMART_PIVOT_GPRS_Core<>Core_RID143808,80
CKLN8004CIBE001,Bundle-Ether20000.120,Connected to ANG03922RT01NE40E01_SMART_PIVOT_MBP_BBW/Internal SMART_PIVOT Public IP_RID143808,120
CKLN8004CIBE001,Bundle-Ether20000.130,Connected to ANG03922RT01NE40E01_SMART_PIVOT_OAM_Management_RID143808,130
CKLN8004CIBE001,Bundle-Ether20000.160,Connected to ANG03922RT01NE40E01_SMART_PIVOT_IT_LAN_IT Workstations_RID143808,160
CKLN8004CIBE001,Bundle-Ether20000.170,Connected to ANG03922RT01NE40E01_SMART_PIVOT_IT_DC_IT Servers_RID143808,170
CKLN8004CIBE001,Bundle-Ether20000.180,Connected to ANG03922RT01NE40E01_SMART_PIVOT_VOIP_BSC_RNC<>CS Core (MGW)_RID143808,180
CKLN8004CIBE001,Bundle-Ether20000.181,Connected to ANG03922RT01NE40E01_SMART_PIVOT_DATA_SYNC_PACKET CORE SYNC_RID143808,181
CKLN8004CIBE001,Bundle-Ether20000.182,Connected to ANG03922RT01NE40E01_SMART_PIVOT_WIFI_Controller (SMART_PIVOT WIFI)_RID143808,182
CKLN8004CIBE001,Bundle-Ether20000.183,Connected to ANG03922RT01NE40E01_SMART_PIVOT to PLDT_ CIPR20000_TNTMGMT_H00,183
CKLN8004CIBE001,Bundle-Ether20000.190,Connected to ANG03922RT01NE40E01_SMART_PIVOT_VOIP IMS_RID143808,190
CKLN8004CIBE001,Bundle-Ether20000.215,Connected to ANG03922RT01NE40E01_SMART_PIVOT_DMZ-NL2_DMZ to vEPDG (for Vitro Clark)_RID143808,215
CKLN8004CIBE001,Bundle-Ether20000.4026,Connected to ANG03922RT01NE40E01_SMART_PIVOT_BNG_DRA (PLDT_BNG_DRA),4026
CKLN8004CIBE001,Bundle-Ether20001.700,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_SIGTRAN_Signaling (RAN_Backend_Core)_WO-20201105-02424,700
CKLN8004CIBE001,Bundle-Ether20001.701,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_OAM_Management_WO-20201105-02424,701
CKLN8004CIBE001,Bundle-Ether20001.702,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_VOIP_BSC_RNC<>CS Core (MGW)_WO-20201105-02424,702
CKLN8004CIBE001,Bundle-Ether20001.703,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_IT_LAN_IT Workstations_WO-20201105-02424,703
CKLN8004CIBE001,Bundle-Ether20001.704,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_IT_DC_IT Servers_WO-20201105-02424,704
CKLN8004CIBE001,Bundle-Ether20001.705,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_NGNSIG_WO-20201105-02424,705
CKLN8004CIBE001,Bundle-Ether20001.706,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_USA-SERVICES_WO-20201105-02424,706
CKLN8004CIBE001,Bundle-Ether20001.707,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_USA-OM_WO-20201105-02424,707
CKLN8004CIBE001,Bundle-Ether20001.708,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_MBP_BBW/Internal SMART_PIVOT Public IP_WO-20201105-02424,708
CKLN8004CIBE001,Bundle-Ether20001.709,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_SECUREDNS_WO-20201105-02424,709
CKLN8004CIBE001,Bundle-Ether20001.710,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_GPRS_Core<>Core_WO-20201105-02424,710
CKLN8004CIBE001,Bundle-Ether20001.711,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_MBB_WO-20201105-02424,711
CKLN8004CIBE001,Bundle-Ether20001.712,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_S1_WO-20201105-02424,712
CKLN8004CIBE001,Bundle-Ether20001.713,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_NTP_WO-20201105-02424,713
CKLN8004CIBE001,Bundle-Ether20001.714,Connected to CLKM3B1R17A9006CR001_SMART_FALCON_DMZ-NL2_DMZ to vEPDG (for Vitro Clark)_WO-20201105-02424,714
CKLN8004CIBE001,Bundle-Ether20006.411,Connected to CLKM3B1R19N9KYCOBCS1 IPR40003_OAMX,411
CKLN8004CIBE001,Bundle-Ether20006.412,Connected to CLKM3B1R19N9KYCOBCS1 IPR40016_IT_LAN,412
CKLN8004CIBE001,Bundle-Ether20011.302,IPR44071_USA-OM PIVOT vProbe OM_AROUPP01,302
CKLN8004CIBE001,Bundle-Ether20011.303,IPR44071_USA-OM PIVOT vProbe SERVICES_AROUPP01,303
CKLN8004CIBE001,Bundle-Ether20011.310,IPR44071_USA-OM PIVOT vProbe OM_AROCPP01,310
CKLN8004CIBE001,Bundle-Ether20011.311,IPR44071_USA-OM PIVOT vProbe SERVICES_AROCPP01,311
CKLN8004CIBE001,Bundle-Ether60001.4071,eNodeB<>EnodeB (X2)_S1_CR-20201209-00278,4071
CKLN8004CIBE001,Bundle-Ether60001.4073,BTS<>BSC (Southbound)_ABIS_CR-20201209-00278,4073
CKLN8004CIBE001,Bundle-Ether60001.4074,NodeB<>RNC (Southbound)_IUB_CR-20201209-00278,4074
CKLN8004CIBE001,Bundle-Ether60001.4075,IPR40002_SYNC_CKLN8004CIBE001_SFUN3814CIBE001_CKLSFU_ASBR_CTHS_CR-20201209-00278,4075
CKLN8004CIBE001,Bundle-Ether60001.4078,RNC<>RNC (IuCS_IuR)_VOIP,4078
CKLN8004CIBE001,Bundle-Ether60002.4071,eNodeB<>EnodeB (X2)_S1_CR-20201209-00278,4071
CKLN8004CIBE001,Bundle-Ether60002.4073,BTS<>BSC (Southbound)_ABIS_CR-20201209-00278,4073
CKLN8004CIBE001,Bundle-Ether60002.4074,NodeB<>RNC (Southbound)_IUB_CR-20201209-00278,4074
CKLN8004CIBE001,Bundle-Ether60002.4075,eNodeB<>SSU (Clocking)_SYNC_CR-20201209-00278,4075
CKLN8004CIBE001,GigabitEthernet0/1/0/44,,0
CKLN8004CIBE001,TenGigE0/1/0/8.1601,**Connected to CKL3922CIAS003 DC2-ACI**,1601
CKLN8004CIBE001,TenGigE0/1/0/8.1602,**Connected to CKL3922CIAS003 DC2-ACI**,1602
CKLN8004CIBE001,TenGigE0/1/0/8.1609,**Connected to CKL3922CIAS003 DC2-ACI**,1609
CKLN8004CIBE001,TenGigE0/1/0/8.1610,**Connected to CKL3922CIAS003 DC2-ACI**,1610
CKLN8004CIBE001,TenGigE0/1/0/8.1651,**Connected to CKL3922CIAS003 DC2-ACI NSO VM**,1651
CKLN8004CIBE001,TenGigE0/1/0/9.1605,**Connected to CKL3922CIAS004 DC2-ACI**,1605
CKLN8004CIBE001,TenGigE0/1/0/9.1606,**Connected to CKL3922CIAS004 DC2-ACI**,1606
CKLN8004CIBE001,TenGigE0/1/0/9.1613,**Connected to CKL3922CIAS004 DC2-ACI**,1613
CKLN8004CIBE001,TenGigE0/1/0/9.1614,**Connected to CKL3922CIAS004 DC2-ACI**,1614
CKLN8004CIBE001,TenGigE0/1/0/41.4072,IPR40003_OAM_CKL03922OSTC001_Access1,4072
CKLN8004CIBE001,TenGigE0/1/0/41.4073,IPR40000_ABIS_CKL03922OSTC001_Access1,4073
CKLN8004CIBE001,TenGigE0/1/0/41.4075,DP_CKL03922OSTC001_Access1_FREQ 8265.1_PHASE 8275.1,4075
CKLN8004CIBE001,TenGigE0/1/0/41.4081,DP_CKL03922OSTC001_Access1_NMS,4081
CKLN8004CIBE001,HundredGigE0/0/0/6.720,IPR40003_OAM_SMART_Vitro_Clark_NL2DCGW01_02_OM_CN_RID157112,720
CKLN8004CIBE001,HundredGigE0/0/0/6.730,IPR40010_GPRS_SMART_Vitro_Clark_NL2DCGW01_02_Media_CN_RID157112,730
CKLN8004CIBE001,HundredGigE0/0/0/6.740,IPR40007_SIGTRAN_SMART_Vitro_Clark_NL2DCGW01_02_Sig_CN_RID157112,740
CKLN8004CIBE001,HundredGigE0/0/0/6.760,IPR40004_S1_SMART_Vitro_Clark_NL2DCGW01_02_RAN_RID157112,760
CKLN8004CIBE001,HundredGigE0/0/0/6.770,IPR40013_MBP_SMART_Vitro_Clark_NL2DCGW01_02_Ext_Int_RID157112,770
SPC00E67CIRO001,Bundle-Ether31.2001,IPR3172_BDO_NET,2001
SPC00E67CIRO001,Bundle-Ether31.2002,IPR30903_FTTH_VoIP_Prod,2002
SPC00E67CIRO001,Bundle-Ether31.2003,IPR30800_FTTH_NMS,2003
SPC00E67CIRO001,Bundle-Ether31.2004,IPR3926_BPI03,2004
SPC00E67CIRO001,Bundle-Ether31.2005,IPR7566_JRSBC,2005
SPC00E67CIRO001,Bundle-Ether31.2006,IPR3115_PNB,2006
SPC00E67CIRO001,Bundle-Ether31.2007,IPR30044_HUANMS,2007
SPC00E67CIRO001,Bundle-Ether31.2008,IPR5426_MBTCDUO,2008
SPC00E67CIRO001,Bundle-Ether31.2009,IPR30012_NGNSIG,2009
SPC00E67CIRO001,Bundle-Ether31.2010,IPR3181_PSBANK,2010
SPC00E67CIRO001,Bundle-Ether31.2011,IPR7695_ONEFOOD,2011
SPC00E67CIRO001,Bundle-Ether31.2012,IPR3175_METBANK,2012
SPC00E67CIRO001,Bundle-Ether31.2013,IPR30116_FIBERHOME,2013
